"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"2105203";"Igarapé Grande (MA)";"138144"
"2105302";"Imperatriz (MA)";"9475802"
"2105351";"Itaipava do Grajaú (MA)";"136089"
"2105401";"Itapecuru Mirim (MA)";"889928"
"2105427";"Itinga do Maranhão (MA)";"687514"
"2105450";"Jatobá (MA)";"83460"
"2105476";"Jenipapo dos Vieiras (MA)";"174125"
"2105500";"João Lisboa (MA)";"362692"
"2105609";"Joselândia (MA)";"139774"
"2105658";"Junco do Maranhão (MA)";"71491"
"2105708";"Lago da Pedra (MA)";"621148"
"2105807";"Lago do Junco (MA)";"108264"
"2105906";"Lago Verde (MA)";"169405"
"2105922";"Lagoa do Mato (MA)";"211547"
"2105948";"Lago dos Rodrigues (MA)";"104301"
"2105963";"Lagoa Grande do Maranhão (MA)";"128791"
"2105989";"Lajeado Novo (MA)";"122752"
"2106003";"Lima Campos (MA)";"237817"
"2106102";"Loreto (MA)";"390947"
"2106201";"Luís Domingues (MA)";"72747"
"2106300";"Magalhães de Almeida (MA)";"181567"
"2106326";"Maracaçumé (MA)";"275246"
"2106359";"Marajá do Sena (MA)";"116023"
"2106375";"Maranhãozinho (MA)";"146664"
"2106409";"Mata Roma (MA)";"226303"
"2106508";"Matinha (MA)";"232534"
"2106607";"Matões (MA)";"334401"
"2106631";"Matões do Norte (MA)";"134625"
"2106672";"Milagres do Maranhão (MA)";"94017"
"2106706";"Mirador (MA)";"389857"
"2106755";"Miranda do Norte (MA)";"578366"
"2106805";"Mirinzal (MA)";"133235"
