municipio,ano_mes,passageiros
AREALVA,2021-05,1835.0
AREALVA,2021-06,2385.0
AREALVA,2021-07,2600.0
AREALVA,2021-08,3958.0
AREALVA,2021-09,3568.0
AREALVA,2021-10,3971.0
AREALVA,2021-11,4190.0
AREALVA,2021-12,3376.0
AREALVA,2022-01,2525.0
AREALVA,2022-02,2328.0
AREALVA,2022-03,3716.0
AREALVA,2022-04,3323.0
AREALVA,2022-05,3513.0
AREALVA,2022-06,3509.0
AREALVA,2022-07,3557.0
AREALVA,2022-08,3493.0
AREALVA,2022-09,3095.0
AREALVA,2022-10,3329.0
AREALVA,2022-11,3177.0
AREALVA,2022-12,3746.0
AREALVA,2023-01,3144.0
AREALVA,2023-02,1473.0
AREALVA,2023-03,1870.0
AREALVA,2023-04,1853.0
AREALVA,2023-05,1796.0
AREALVA,2023-06,1672.0
AREALVA,2023-07,2769.0
AREALVA,2023-08,1902.0
AREALVA,2023-09,2069.0
AREALVA,2023-10,1541.0
AREALVA,2023-11,2115.0
AREALVA,2023-12,3760.0
AREALVA,2024-01,3880.0
AREALVA,2024-02,2488.0
AREALVA,2024-03,3908.0
AREALVA,2024-04,4033.0
AREALVA,2024-05,3587.0
AREALVA,2024-06,3644.0
AREALVA,2024-07,4424.0
AREALVA,2024-08,3731.0
AREALVA,2024-09,3713.0
AREALVA,2024-10,3062.0
AREALVA,2024-11,2979.0
AREALVA,2024-12,4331.0
AREALVA,2025-01,3303.0
AREALVA,2025-02,2966.0
AREALVA,2025-03,2858.0
AREALVA,2025-04,3164.0
AREALVA,2025-05,3458.0
AREALVA,2025-06,2928.0
AREALVA,2025-07,3962.0
AREALVA,2025-08,2551.0
AREALVA,2025-09,2138.0
AREALVA,2025-10,2280.0
AREALVA,2025-11,2518.0
AREALVA,2025-12,3398.0
ARIPUANÃ,2021-01,116.0
ARIPUANÃ,2021-02,141.0
ARIPUANÃ,2021-03,135.0
ARIPUANÃ,2021-04,139.0
ARIPUANÃ,2021-05,162.0
ARIPUANÃ,2021-06,163.0
ARIPUANÃ,2021-07,190.0
ARIPUANÃ,2021-08,100.0
ARIPUANÃ,2021-09,89.0
ARIPUANÃ,2021-10,103.0
ARIPUANÃ,2021-11,56.0
ARIPUANÃ,2021-12,45.0
ARIPUANÃ,2022-01,35.0
ARIPUANÃ,2022-02,55.0
ARIPUANÃ,2022-03,104.0
ARIPUANÃ,2022-04,187.0
ARIPUANÃ,2022-05,217.0
ARIPUANÃ,2022-06,180.0
ARIPUANÃ,2022-07,170.0
ARIPUANÃ,2022-08,101.0
ARIPUANÃ,2022-09,65.0
ARIPUANÃ,2022-10,67.0
ARIPUANÃ,2022-11,43.0
ARIPUANÃ,2022-12,36.0
ARIPUANÃ,2023-01,12.0
ARIPUANÃ,2023-02,31.0
ARIPUANÃ,2023-03,22.0
ARIPUANÃ,2023-04,12.0
ARIPUANÃ,2023-05,27.0
ARIPUANÃ,2023-06,69.0
ARIPUANÃ,2023-07,85.0
ARIPUANÃ,2023-08,54.0
ARIPUANÃ,2023-09,24.0
ARIPUANÃ,2023-10,44.0
ARIPUANÃ,2023-11,34.0
ARIPUANÃ,2023-12,41.0
ARIPUANÃ,2024-01,7.0
ARIPUANÃ,2024-02,28.0
ARIPUANÃ,2024-03,31.0
ARIPUANÃ,2024-04,37.0
ARIPUANÃ,2024-05,35.0
ARIPUANÃ,2024-06,77.0
ARIPUANÃ,2024-07,79.0
ARIPUANÃ,2024-08,113.0
ARIPUANÃ,2024-09,2.0
ARIPUANÃ,2024-10,116.0
ARIPUANÃ,2024-11,101.0
ARIPUANÃ,2024-12,58.0
ARIPUANÃ,2025-01,59.0
ARIPUANÃ,2025-02,72.0
ARIPUANÃ,2025-03,67.0
ARIPUANÃ,2025-04,120.0
ARIPUANÃ,2025-05,97.0
ARIPUANÃ,2025-06,77.0
ARIPUANÃ,2025-07,124.0
ARIPUANÃ,2025-08,38.0
ARIPUANÃ,2025-09,141.0
ARIPUANÃ,2025-10,178.0
ARIPUANÃ,2025-11,131.0
ARIPUANÃ,2025-12,133.0
ARMAÇÃO DOS BÚZIOS,2022-10,0.0
